,r_name,r_rating,r_review 
349,mani,1.0 out of 5 stars,"

  How about quality and efficiency of battery,  i have been using 2 iphone 6s and felt worst battery experience, mic and speaker experiance. In india we are getting this phone equivalent  to second hand car price. I am ok with the price but wont felt price of this phone gives justifiable to the performance and efficiency of battery.I always fight with my friend related to iphone and android.This time for sure i am going to switch to some other phone like oneplus. Which we are getting in cheaper rate and best battery experiance. If we are saying iphone is status symbol them i would say… monkey and 2 cat story..Bye bye iphone

"
350,Varun,1.0 out of 5 stars,"

  Worst phone ever to be frank oppo or vivo  would be much better than this ,at this price point we can buy 2 phones.

"
351,sateesh g.,5.0 out of 5 stars,"

  Perfectness in every inch. Great battery backup and great display. Every thing is perfect. Green colour awesome for light colour lovers. Blue and red are too dark.

"
352,Pankaj,5.0 out of 5 stars,"

  Phone to bahut mst hai lekin bhai apni aukaat se baahar h. Bas photo dekh kar khush ho lete h.

"
353,ashish,5.0 out of 5 stars,"

  works well … feel in hand is superb … bought iphone 12 and iphone 12 pro.. both works fine.. lags a bit while playing heavy games like pubg on ultra high graphics settings… battery is ok (80% charge in like 40 mins) last around 8-10 hours with normal usage. … wished it came in 90hz screen refresh.. camera not great okish

"
354,Chakradhar Reddy,5.0 out of 5 stars,"

  This is an awesome product, battery life is also good. If you are a normal user easily you can use this for 1.5 days or 30 to 36 hrs screen resolution camera quality every thing is exceptional.

"
355,satwik,5.0 out of 5 stars,"

  I have been using this phone for almost 2 months now...its an amazingg phone i guarantee u will enjoy this phone..you’ll love the beautiful oled display the camera the processor,everythingg..battery life is amazing i am heavy user and still gets 9 hour of screen time..just go for it but pls use case and a screen protector cause the back is s fingerprint magnet and the display attracts a lot of scratches

"
356,Saurav Sagar,5.0 out of 5 stars,"

  Camera and Display is too good, feels good to hold in hand as compared to iPhone 11, battery is okayish

"
357,dipika,5.0 out of 5 stars,"

  Phone is fabulous especially green one.. battery backup is good as one plus and camera quality is nice just want finger print reader feature too in this phone as we are wearing mask daily so no use of face recognition  .Apple marketer u need to add one more additional feature…

"
358,S,5.0 out of 5 stars,"

  Iphone 12 is amazing. It’s so fast. It has 5G network  which is so fast. Design is soo good. Excellent pixels. Camera is good. Must go for it

"
359,Nitin,3.0 out of 5 stars,"

  I used both google and now iphone but google has a better echo system and importantly google has much better AI than the iPhone, of course iPhone has the best built.

"
360,Shivam k.,2.0 out of 5 stars,"

  Acha price expect kiya tha republic sale pe but..Still kafi expensive hai price49999 hona chaiye tha but no

"
361,Sohini Devbarman,5.0 out of 5 stars,"

  This is my first iOS phone. At first was very confused whether to shift from hard core Android user to be an iOS user. And literally many of my friends asked me not to. But ultimately I listened to my heart and bought this amazing iphone 12. I am loving every bit of it. Amazing battery life . And the feel that you get after holding this phone is brilliant.

"
362,Mahendra kumar jangid,1.0 out of 5 stars,"

  I have used iphone 12 and it's bad performance it's total waste of money  don't buy iphone  12 it's does not deserve the large sum it demands for it

"
363,Cheems,5.0 out of 5 stars,"




                    The media could not be loaded.
                




   After using 7 years of android finally i choose iPhone.face id is awesome and haptics also best in class

"
364,Ashwini Ghure,1.0 out of 5 stars,"

  In description it has iPhone 12 with 6.1 inch display, but actually received is iPhone 12 mini, it's total fraud with customers

"
365,Manish,5.0 out of 5 stars,"

  A major upgrade is added in iPhone series , camera quality is so nice ,screen quality is improved,ofcourse its very smooth ,Video call the quality is so real and nice..Battery is okk okk but it can be improved

"
366,Ankit,5.0 out of 5 stars,
367,suman khanchandani,3.0 out of 5 stars,"

  Crackling sound, mic and speaker not working. Amazon didnt facilitate return. My brother had to go to the service centre again and again in this lockdown scenario. It is a gift for my mom but it turned out to be a failed gift.

"
368,SHADØW ŁUCIFER,5.0 out of 5 stars,"

  Apple juice and a little bit more of a good mix and the best part of the game was that the game is good and I wish I had a little better and more levels of a good way of keeping it with the best of my friends to buy the app I love the best were my friends in with friends of the game I have a good game and a lot to do and I wish I would be

"
369,Farhan Ahmed,5.0 out of 5 stars,"

  Very nice, slim, fast and lightweight iPhone for youtube videos and movie makers. Must go for iPhone 12 & iPhone12 pro.

"
370,VINSY,5.0 out of 5 stars,"

  Great phone. I have been an iPhone user since many years nowI was using 5s, 6s and now 12. The speed is amazing

"
371,alamgir faridi,3.0 out of 5 stars,"

  The battery life of this iPhone 12 is worst.In 4 to 6 hours from 100% without any usage it will decrease from 20 to 25 percent.My return window is closed I want to return my item please help me in returning my product.

"
372,Mahidhar Komaravolu,1.0 out of 5 stars,"

  Overpriced product not worth the price waste of money, don't buy it.usless product the design is worst and it is overpriced.

"
373,Manohar singh,5.0 out of 5 stars,"

  No comments fabulous awesome table breaking rocking fantastic . . . . . . . . . . . .

"
374,Aaditya,5.0 out of 5 stars,"

  Excellent Performance, Excellent New features. Camera, Battery I always love it...👌👌👌👍👍👍 Value for money. Worth buying. 👍👍👍👌👌👌. Like it. Nice design also

"
375,Prajwal Patil,5.0 out of 5 stars,"

  iPhone 12 just looks dope and is a very good phone but I bought from apple store. Please don’t buy from Amazon they sell used/already opened products.

"
376,Saqib Hussain,1.0 out of 5 stars,"

  Poor phone.. Worst battery back up nothing special don't buy if you don't want to waste your money very poor

"
377,Abhishek Kumar,1.0 out of 5 stars,"

  Don't buy iphone if you are an android user & you want to swich an iPhone because battery experience is not good in all iPhones.

"
378,Kalpana sharma,2.0 out of 5 stars,"

  Costly!!!! Not worth it at this price range we don't get any charger i think thisnis the biggest scam of the century the customer need to buy extra charger worth 2k this is a true wste at this price range !!!!

"
379,Parv Jain,1.0 out of 5 stars,"

  Bad experience for this phone andApple is fooling us and sell to expensive products and Very bad company don't buy it

"
380,Sanjay telgote,5.0 out of 5 stars,"

  I am using I phones since years nowTake it if you can quality is no niceAnd lavender colour is superb

"
381,Kinjol,5.0 out of 5 stars,"

  Beautiful design ! Super performance ! Very nice mobile phone...(fingerprint is replaced with face recognition - no problems so far.)

"
382,Mrs Ritesh Yadav,5.0 out of 5 stars,"

  Great mobile at great price point.. loved it. Camera is good... Accessories are very expensive .... But straight forward .. go for it. Great deal....

"
383,Prateek Sharma,1.0 out of 5 stars,"

  After buying it miseries starts....no matter how much discount you get you need to spent atleast 10k additional for the basic accessories. First Apple product n really disappointed.

"
384,Pooja sachdeva,1.0 out of 5 stars,"

  Plz take from shop not amazon I got broken😤😤 don't buy online it's worth l e s sOk

"
385,Atharva S.,5.0 out of 5 stars,"

  All g, don’t hesitate before buying. Sadly it doesnt come w fingerprint, else it would be perfect phone in this range.

"
386,Manash Choudhury,5.0 out of 5 stars,"

  Great phone. But its costlier. Camera is best part. Battery life is great. Very light to hold. I love iphone.

"
387,Zilangamba warepam,3.0 out of 5 stars,"

  Battery is worse 11 is batter then 12 battery drain to first i charge 100 % and i use to play a music in 1 or to minut the battery is down to first

"
388,Sarvesh,5.0 out of 5 stars,"

  This is the best Phone on the Market Right Now ...  U can definitely check it out... & Go for it !!!

"
389,danish alam,5.0 out of 5 stars,"




                    The media could not be loaded.
                




   Kabhi kabhi dard hota hai par mirror click lene ke baad thorda acha lgne lagta hai, lelo addat hojyega dard sehne ka

"
390,Gourav jaiswal,5.0 out of 5 stars,"

  I sold my kidney for this mobile.Its working but my kidney didn't.The pain is smaller than the price of Mobile.

"
391,Rahil Shaikh,5.0 out of 5 stars,"

  Best iOs phone if you have budget of 75k Amd  better than samsungs flaships mobile If uh want then just go for it

"
392,Atharv,4.0 out of 5 stars,"

  It's handle all games easily on high settings , and it's camera is awesome.But the price is so high , you can purchase in a sale..

"
393,Joydeep Barman,5.0 out of 5 stars,"

  Very good! A genuine product delivered by amazon. I'm very happy. Phone is awesome. Battery life is good. Thank you Amazon.

"
394,Chandra sekhar,4.0 out of 5 stars,"

  Very slow touch screen with 60 hz refresh rate.By charging such huge amount it should have been at par with market having 120 ht rr

"
395,Vishu,5.0 out of 5 stars,"

  Best iphone till now. Superb display , brilliant camera, color accuracy, grip, battrry life. just too good to have one!

"
396,Hareesh k,3.0 out of 5 stars,"

  Perfomance is all good but Battery is draining so fast and taking lot of time to get charged after 70%.

"
397,Love khanna,5.0 out of 5 stars,"




                    The media could not be loaded.
                




   Good product amazing look fast suffering on net best choice happy to take this I phone -12 I love this .

"
398,Zahid,4.0 out of 5 stars,"

  After buying this phone, I'm young ,dumb and broke now.... And I hope I recover from this shock😁brooooooAll fault of Newton.Go for it , it's cute.

"
399,A.Selvamanikandan,5.0 out of 5 stars,"

  Beast....Ever...Don’t Trust Other Brand Plastics..Really worthable product from AppleThe Originallity and the Quality Ever from appleTrust

"
400,Mehul Patel,3.0 out of 5 stars,"

  good product overall. I am using since two months months months months months months months months  months  months  months  months

"
401,Amazon Customer,1.0 out of 5 stars,"

  Battery% dint increase more than 10% and temperature alert came often. Defective product. Very dissatisfied with the product and service.

"
402,Sumit vansh,5.0 out of 5 stars,"

  Finger print dediya hota to 5🌟 ho jate best phone 2021 camera best display best battery backup best and performance best and big problem no chager

"
403,kalpana baghel,5.0 out of 5 stars,"

  Great camera 📷 but the freaking battery is a bummer I would recommend iphone 11 if u wanna for the battery life

"
404,Mehta’s,5.0 out of 5 stars,"

  Excellent overall , from order to deliver and everything was smooth and perfect I can say that for sure !!

"
405,Arijit Pal,5.0 out of 5 stars,"

  Very good in all kind of features are super cool. Phone is like a Astronaut in all kind of terms.

"
406,Ravindra Gupta,5.0 out of 5 stars,"

  Excellent battery life. Quality of photos and videos are awesome. Best phone in the iPhone range so far. Full screen gives more visibility

"
407,Abhishek Rai,5.0 out of 5 stars,"

  It has improved its battery quality and its camera is still better than iPhone 11 and oneplus 9 pro , I’m satisfied with the product

"
408,Sameer Empire,5.0 out of 5 stars,"

  Camera quality is very nice.Love this productI am upgrade to my iPhone x to iPhone 12This product is value for moneyThank you. Apple

"
409,XPG,5.0 out of 5 stars,"

  Best phone but doesn’t have myriad apps like android.Surround sounds!!! Best battery best display Love this phone. Best in class

"
410,Abhinav,3.0 out of 5 stars,"

  Is there any issue while scrolling text looks blurry and trailing on iPhone 12?Does anyone faced this on your iPhone 12

"
411,Mukund,5.0 out of 5 stars,"

  Okkk so done with one kidney going to sell another one for power adapter and for case 🤧 and ofcourse value for kidney 😅

"
412,HARISH,4.0 out of 5 stars,"

  Camera, design and display quality improved on this 12. Other than that regular iPhone11 with that same notch. Honest review....!

"
413,NIKHIL SHARMA,5.0 out of 5 stars,"

  Best phone to ever exist. Its premium finish and in hand feel is definitely luxury. Best for gaming, and is very much durable

"
414,Sunny,1.0 out of 5 stars,"

  worst iphone i have ever used in my lifewaste of money worst performance worst camera worst sensors and worst sound

"
415,Aditya Joshi,5.0 out of 5 stars,"

  Beast . Best battery life 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥👍👍go for it you will love this mobileIt is light weight and very good

"
416,Zeeshan A.,2.0 out of 5 stars,"

  Not worth of buying iphone. U can get cheaper price from states u can offord it c u. . .

"
417,RUSHIKESH PATEL,5.0 out of 5 stars,"

  RUSHIKESH PATEL IPHONE 12BEST AND GOOD PHONE.VALUE FOR MONEYGOOD CAMERA AND BATTERYCAMERA SENSOR IS BEST IN IPHONE 12

"
418,MD R.,3.0 out of 5 stars,"

  Camera is good but battery is poor capacity, and also warmth problem. I think this phone is not value for money on this price range.

"
419,Himanshu Yadav,5.0 out of 5 stars,"

  Battery backup is great and much better then 11.If you think to buy this go ahead..Nice for gaming.

"
